title,provider,category,level,duration_hours,url
Python for Everybody,Coursera,Programming,Beginner,40,https://www.coursera.org/specializations/python
CS50x: Introduction to Computer Science,Harvard/edX,Programming,Beginner,60,https://www.edx.org/course/cs50s-introduction-to-computer-science
Google Data Analytics Professional Certificate,Coursera,Data,Beginner,180,https://www.coursera.org/professional-certificates/google-data-analytics
Machine Learning Specialization,DeepLearning.AI,Data,Intermediate,90,https://www.coursera.org/specializations/machine-learning-introduction
Design Thinking Fundamentals,IDEO U,Design,Beginner,10,https://www.ideou.com/pages/design-thinking
Product Management 101,Udemy,Product,Beginner,12,https://www.udemy.com/course/product-management-101/
Agile with Atlassian Jira,Atlassian,Project Management,Beginner,12,https://www.atlassian.com/training/course/agile-with-jira
Leadership Principles,LinkedIn Learning,Leadership,Intermediate,6,https://www.linkedin.com/learning/leadership-foundations
AWS Cloud Practitioner Essentials,AWS,Cloud,Beginner,6,https://www.aws.training/Details/Curriculum?id=20685
SQL for Data Science,UC Davis/Coursera,Data,Beginner,20,https://www.coursera.org/learn/sql-for-data-science
